RSPRoomId,SourceHeader,SourcePropertyAddress,SourceRoomId
5746367,武定西路,武定西路1398弄3号801室,3422421
5739189,武定西路,武定西路1398弄3号802室,3422422
5746435,武定西路,武定西路1398弄3号803室,3422423
5739203,武定西路,武定西路1398弄3号804室,3422424
5739240,武定西路,武定西路1398弄3号805室,3422425
5746392,武定西路,武定西路1398弄3号901室,3422426
5739252,武定西路,武定西路1398弄3号902室,3422427
5746428,武定西路,武定西路1398弄3号903室,3422428
5739184,武定西路,武定西路1398弄3号904室,3422429
5739226,武定西路,武定西路1398弄3号905室,3422430
5739213,武定西路,武定西路1398弄3号1001室,3422431
5739187,武定西路,武定西路1398弄3号1002室,3422432
5746427,武定西路,武定西路1398弄3号1003室,3422433
5739243,武定西路,武定西路1398弄3号1004室,3422434
5746423,武定西路,武定西路1398弄3号1005室,3422435
5746366,武定西路,武定西路1398弄3号1101室,3422436
5739225,武定西路,武定西路1398弄3号1102室,3422437
5746385,武定西路,武定西路1398弄3号1103室,3422438
5739192,武定西路,武定西路1398弄3号1104室,3422439
5739223,武定西路,武定西路1398弄3号1105室,3422440
5739239,武定西路,武定西路1398弄3号1201室,3422441
5739222,武定西路,武定西路1398弄3号1202室,3422442
5739188,武定西路,武定西路1398弄3号1203室,3422443
5746395,武定西路,武定西路1398弄3号1204室,3422444
5739227,武定西路,武定西路1398弄3号1205室,3422445
5746373,武定西路,武定西路1398弄3号1301室,3422446
5746440,武定西路,武定西路1398弄3号1302室,3422447
5746450,武定西路,武定西路1398弄3号1303室,3422448
5746390,武定西路,武定西路1398弄3号1304室,3422449
5739248,武定西路,武定西路1398弄3号1305室,3422450
5746377,武定西路,武定西路1398弄3号1401室,3422451
5739182,武定西路,武定西路1398弄3号1402室,3422452
5746393,武定西路,武定西路1398弄3号1403室,3422453
5746375,武定西路,武定西路1398弄3号1404室,3422454
5739214,武定西路,武定西路1398弄3号1405室,3422455
5739186,武定西路,武定西路1398弄3号1501室,3422456
5739190,武定西路,武定西路1398弄3号1502室,3422457
5739198,武定西路,武定西路1398弄3号1503室,3422458
5746441,武定西路,武定西路1398弄3号1504室,3422459
5739200,武定西路,武定西路1398弄3号1505室,3422460
5746409,武定西路,武定西路1398弄3号1601室,3422461
5746381,武定西路,武定西路1398弄3号1602室,3422462
5746369,武定西路,武定西路1398弄3号1603室,3422463
5739244,武定西路,武定西路1398弄3号1604室,3422464
5746434,武定西路,武定西路1398弄3号1605室,3422465
